id,firstname,department,salary
100,Claresta,ADMIN_ASST,88100
101,Helsa,ADMIN_ASST,69500
102,Gwenneth,NUR_ASST,70200
103,Melina,OFF_ASS,60100
104,Ezmeralda,MED_ASST,2900
105,Vanessa,ACC_EXEC,225000
106,Maud,PM,54900
107,Linzy,EXEC_ASST,304000
108,Melina,SWE,2900
109,Courtnay,SWE,60100
110,Harrietta,EXEC_ASST,149000
111,Paola,DOG_TNR,149000
112,Keelia,ACC_EXEC,273000
113,Hollie,LBRN,116000
114,Lorenza,DOG_TNR,197000
115,Lolita,MKT_MGR,149000
116,Odessa,SWE,46600
117,Vevay,LBRN,31500
118,Verla,LBRN,24100
119,Gavrielle,ADMIN_ASST,225000
120,Teriann,MKT_MGR,69500
121,Ruthe,CT_SR_RPT,91200
122,Elsie,WEB_DSNR,69500
123,Nataline,SWE,60100
124,Genovera,OFF_ASS,76700
125,Barbara,MKT_MGR,116000
126,Arlina,NUR_ASST,273000
127,Donetta,ACC_EXEC,60100
128,Gianina,CT_SR_RPT,37600
129,Gwyneth,ACC_EXEC,41300
130,Mary,ADMIN_ASST,197000
131,Therine,ACC_EXEC,24100
132,Kara-Lynn,POS,41300
133,Roseline,DOG_TNR,37600
134,Renae,WEB_DSNR,37600
135,Jerry,EXEC_ASST,225000
136,Althea,EXEC_ASST,76700
137,Mallory,NUR_ASST,24100
138,Odessa,CT_SR_RPT,225000
139,Pierette,SWE,31500
140,Merci,NUR_ASST,37600
141,Gratia,MED_ASST,149000
142,Juliane,WEB_DSNR,37600
143,Catrina,ACC_EXEC,70200
144,Dominga,SM,31500
145,Sue,SM,76700
146,Marinna,ACC_EXEC,41300
147,Carmela,MED_ASST,88100
148,Frank,NUR_PTNR,60100
149,Chere,LBRN,197000
150,Delilah,ADMIN_ASST,2900
151,Chloris,MED_ASST,304000
152,Corly,DOG_TNR,2900
153,Lacie,SM,197000
154,Raina,CT_SR_RPT,116000
155,Constance,MKT_MGR,24100
156,Brena,SM,2900
157,Misha,CT_SR_RPT,41300
158,Gavrielle,MKT_MGR,60100
159,Lynde,MED_ASST,2900
160,Berget,CT_SR_RPT,76700
161,Dania,MKT_MGR,149000
162,Gertrud,ADMIN_ASST,273000
163,Beverley,NUR_PTNR,2900
164,Mellicent,MKT_MGR,69500
165,Bettine,EXEC_ASST,197000
166,Shauna,EXEC_ASST,225000
167,Oona,MKG_CDR,225000
168,Bertine,ACC_EXEC,37600
169,Jemie,NUR_PTNR,88100
170,Tersina,MKG_CDR,69500
171,Corene,NUR_PTNR,88100
172,Arlina,LBRN,149000
173,Annaliese,POS,69500
174,Starla,POS,304000
175,Hildegaard,POS,76700
176,Iseabal,OFF_ASS,197000
177,Marjie,LBRN,273000
178,Sissy,OFF_ASS,37600
179,Susan,SM,70200
180,Fayre,WEB_DSNR,54900
181,Edith,OFF_ASS,197000
182,Aigneis,NUR_PTNR,225000
183,Eadie,LBRN,304000
184,Frieda,WEB_DSNR,91200
185,Cathyleen,NUR_ASST,46600
186,Abbie,CT_SR_RPT,31500
187,Merle,EXEC_ASST,304000
188,Jillayne,MKG_CDR,116000
189,Florie,WEB_DSNR,54900
190,Loree,MED_ASST,304000
191,Tersina,CT_SR_RPT,225000
192,Meriel,MKG_CDR,60100
193,Helsa,NUR_ASST,54900
194,Krystle,MED_ASST,149000
195,Hermione,CT_SR_RPT,24100
196,Diena,ACC_EXEC,54900
197,Cyndie,MKG_CDR,88100
198,Brooks,MED_ASST,41300
199,Beatriz,ACC_EXEC,273000
200,Kathy,DOG_TNR,88100
201,Berget,MKT_MGR,149000
202,Atlanta,POS,91200
203,Shandie,LBRN,46600
204,Catrina,SWE,60100
205,Korrie,NUR_PTNR,31500
206,Cassondra,LBRN,54900
207,Peri,ACC_EXEC,70200
208,Tomasina,EXEC_ASST,46600
209,Asia,SM,149000
210,Chloris,SWE,116000
211,Cissiee,DOG_TNR,88100
212,Jemie,DEC,70200
213,Jenilee,NUR_PTNR,2900
214,Addia,NUR_ASST,273000
215,Asia,SM,37600
216,Aili,DOG_TNR,76700
217,Sean,ACC_EXEC,88100
218,Jinny,LBRN,88100
219,Edee,DOG_TNR,76700
220,Kirbee,MKT_MGR,149000
221,Tybie,MED_ASST,37600
222,Rhoda,SM,24100
223,Adore,ADMIN_ASST,273000
224,Elsie,ACC_EXEC,91200
225,Mallory,ADMIN_ASST,91200
226,Malina,ACC_EXEC,37600
227,Annecorinne,LBRN,149000
228,Justinn,ACC_EXEC,116000
229,Aryn,CT_SR_RPT,24100
230,Audrie,MED_ASST,37600
231,Rhoda,NUR_ASST,37600
232,Christian,ACC_EXEC,31500
233,Wanda,DEC,91200
234,Brietta,CT_SR_RPT,116000
235,Eadie,MKT_MGR,54900
236,Tori,CT_SR_RPT,273000
237,Evaleen,MKT_MGR,37600
238,Roz,MKT_MGR,31500
239,Katleen,ACC_EXEC,197000
240,Asia,ACC_EXEC,37600
241,Kaja,ACC_EXEC,37600
242,Nonnah,DOG_TNR,76700
243,Bettine,OFF_ASS,31500
244,Ingrid,EXEC_ASST,225000
245,Lorne,SWE,46600
246,Kimberley,LBRN,54900
247,Sindee,DOG_TNR,60100
248,Joceline,PM,24100
249,Drucie,CT_SR_RPT,41300
250,Danny,EXEC_ASST,69500
251,Anestassia,SWE,69500
252,Deane,NUR_ASST,225000
253,Tami,MKT_MGR,2900
254,Farrah,DOG_TNR,91200
255,Mathilda,LBRN,24100
256,Petronia,ACC_EXEC,31500
257,Elbertina,SM,31500
258,Gabi,MED_ASST,31500
259,Maurene,EXEC_ASST,304000
260,Orsola,ACC_EXEC,69500
261,Ardys,CT_SR_RPT,91200
262,Adelle,MED_ASST,70200
263,Amii,CT_SR_RPT,37600
264,Trixi,EXEC_ASST,46600
265,Britte,MKG_CDR,197000
266,Myriam,MKG_CDR,88100
267,Susette,NUR_ASST,54900
268,Kirbee,EXEC_ASST,76700
269,Anthia,DEC,273000
270,Hildegaard,ACC_EXEC,37600
271,Clo,ACC_EXEC,46600
272,Mahalia,NUR_PTNR,116000
273,Max,MKT_MGR,88100
274,Ernesta,MKT_MGR,76700
275,Willetta,SWE,116000
276,Cherrita,ADMIN_ASST,37600
277,Rosanne,WEB_DSNR,116000
278,Kate,LBRN,60100
279,Aurore,EXEC_ASST,91200
280,Merry,CT_SR_RPT,304000
281,Aimil,SWE,304000
282,Hollie,POS,273000
283,Celisse,SWE,197000
284,Millie,WEB_DSNR,37600
285,Gwenneth,WEB_DSNR,91200
286,Almeta,SM,60100
287,Nanete,LBRN,304000
288,Deedee,SM,197000
289,Vevay,DOG_TNR,37600
290,Dolli,MED_ASST,88100
291,Gilda,SWE,149000
292,Ellette,MKT_MGR,37600
293,Luci,SM,91200
294,Blake,NUR_ASST,41300
295,Emilia,MED_ASST,2900
296,Karlee,OFF_ASS,225000
297,Quintina,POS,197000
298,Minda,NUR_PTNR,31500
299,Cacilie,LBRN,54900
300,Althea,POS,91200
301,Tera,NUR_PTNR,197000
302,Pamella,DEC,149000
303,Genevra,NUR_PTNR,54900
304,Merci,NUR_PTNR,304000
305,Raf,NUR_ASST,76700
306,Christy,EXEC_ASST,54900
307,Katuscha,MKT_MGR,149000
308,Oona,DOG_TNR,60100
309,Sean,MKT_MGR,54900
310,Jobi,OFF_ASS,46600
311,Chloris,CT_SR_RPT,273000
312,Desirae,NUR_PTNR,197000
313,Allis,NUR_ASST,116000
314,Judy,POS,70200
315,Ezmeralda,ADMIN_ASST,116000
316,Cyb,ADMIN_ASST,273000
317,Fanny,EXEC_ASST,37600
318,Blondelle,SWE,116000
319,Claudina,ADMIN_ASST,88100
320,Lisette,NUR_ASST,91200
321,Hope,PM,37600
322,Melisent,POS,197000
323,Petronia,DEC,149000
324,Marinna,WEB_DSNR,116000
325,Yvonne,DOG_TNR,70200
326,Gisela,SWE,76700
327,Mariann,PM,225000
328,Esmeralda,DOG_TNR,197000
329,Allis,LBRN,41300
330,Libbie,NUR_PTNR,76700
331,Alameda,SWE,273000
332,Nikki,SM,60100
333,Lynea,LBRN,273000
334,Riannon,SM,31500
335,Ruthe,LBRN,37600
336,Mamie,MED_ASST,2900
337,Consuela,MKG_CDR,31500
338,Carree,ADMIN_ASST,31500
339,Nollie,PM,2900
340,Sissy,POS,273000
341,Benita,NUR_PTNR,70200
342,Quintina,ACC_EXEC,76700
343,Blondelle,ACC_EXEC,76700
344,Gretal,ACC_EXEC,91200
345,Selma,EXEC_ASST,37600
346,Camile,DOG_TNR,24100
347,Roz,ACC_EXEC,70200
348,Molli,DEC,37600
349,Desirae,MED_ASST,116000
350,Nonnah,ACC_EXEC,91200
351,Lacie,DOG_TNR,197000
352,Selia,WEB_DSNR,225000
353,Fanchon,POS,225000
354,Lacie,POS,91200
355,Magdalena,EXEC_ASST,41300
356,Joceline,NUR_ASST,116000
357,Roxane,ADMIN_ASST,60100
358,Teddie,SWE,116000
359,Darlleen,SWE,37600
360,Karlee,DOG_TNR,2900
361,Darlleen,MKG_CDR,70200
362,Nataline,CT_SR_RPT,24100
363,Ezmeralda,SM,70200
364,Nelle,EXEC_ASST,24100
365,Ida,ACC_EXEC,91200
366,Doralynne,ACC_EXEC,69500
367,Darci,NUR_ASST,225000
368,Lilith,ACC_EXEC,273000
369,Willetta,PM,304000
370,Ebonee,NUR_PTNR,37600
371,Gilligan,EXEC_ASST,76700
372,Deloria,SM,116000
373,Christian,EXEC_ASST,149000
374,Nickie,SM,41300
375,Eadie,DEC,37600
376,Roz,MKT_MGR,37600
377,Doralynne,MED_ASST,37600
378,Britni,MED_ASST,2900
379,Bernardine,DEC,88100
380,Mamie,ACC_EXEC,149000
381,Rori,LBRN,304000
382,Gilligan,PM,31500
383,Marinna,MKG_CDR,225000
384,Adelle,PM,116000
385,Dominga,CT_SR_RPT,24100
386,Noelle,MKG_CDR,70200
